What happens to Carta now?,https://techcrunch.com/2024/01/09/what-happens-to-carta-now/,"If a noticeable chunk of Carta startup and venture customers do leave, it would hurt the company's otherwise impressive revenue figures, but that seems unlikely to happen."
"CES 2024: Everything revealed so far, from Nvidia to rabbit’s pocket AI to Kodiak’s autonomous semi truck",https://techcrunch.com/2024/01/09/ces-2024-everything-you-need-to-know/,"One of the year’s biggest tech events has kicked off in Las Vegas, and we’re here to bring all the reveals before the show floor opens."
Twitch is laying off another 500 employees,https://techcrunch.com/2024/01/09/twitch-layoff-500-employees/,"Another round of layoffs is hitting Twitch. The Amazon-owned livestreaming platform will cut 35% of its staff, or roughly 500 employees, Bloomberg reports, and will announce the reduction as early as"
Treasure Financial lays off staff just months after reporting ‘explosive growth’,https://techcrunch.com/2024/01/09/treasure-financial-lays-off-staff-just-months-after-reporting-explosive-growth/,"Treasure Financial has laid off 14 employees, the fintech startup confirmed to TechCrunch today. The layoffs took place in December. The move affected some 60% to 70% of the company, according to mult"
Stairs are no obstacle for this delivery bot’s squishy wheels,https://techcrunch.com/2024/01/09/stairs-are-no-obstacle-for-this-delivery-bots-squishy-wheels/,"One of the easiest shots to take at the delivery bots some of us see trundling around techy cities is that they can’t climb stairs, curbs, or any other minor obstacle that even a slug could hand"
"Quora raised $75M from a16z to grow Poe, its AI chat bot platform",https://techcrunch.com/2024/01/09/quora-75m-funding-a16z-poe-ai-chat/,"Quora is back at it, raising funding for the first time in nearly seven years. The questions and answers website nabbed $75 million from Andreessen Horowitz (a16z), which will be used to power the gro"
"Substack won’t commit to proactively removing Nazi content, ensuring further fallout",https://techcrunch.com/2024/01/09/substack-nazi-content-policies-controversy/,"Substack has industry-leading newsletter tools and a platform that independent writers flock to, but its recent content moderation missteps could prove costly. In late November, the Atlantic reported"
Hyundai says its electric air taxi business will take flight in 2028,https://techcrunch.com/2024/01/09/hyundai-says-its-electric-air-taxi-business-will-take-flight-in-2028/,"Supernal, the advanced air mobility company under Hyundai Motor Group, took the wraps off its latest iteration of an electric vertical takeoff and landing aircraft called the S-A2 that executives say"
"NASA delays Artemis moon missions to give SpaceX, others more time to develop tech",https://techcrunch.com/2024/01/09/nasa-delays-artemis-moon-missions-to-give-spacex-others-more-time-to-develop-tech/,NASA is pushing back the next two Artemis missions to the moon — including the first crewed lunar mission in more than 50 years — by around 12 months in order to give commercial partners more time
Getty Images launches a new GenAI service for iStock customers,https://techcrunch.com/2024/01/09/getty-images-launches-a-new-gen-ai-service-for-istock-customers/,"Getty Images, the stock media company, announced a new service this week at CES 2024 that leverages AI models trained on Getty’s iStock stock photography and video libraries to generate new lice"
A comprehensive list of 2023 & 2024 tech layoffs,https://techcrunch.com/2024/01/09/tech-layoffs-2023-list/,"Last year’s techwide reckoning continues. The tech industry has seen more than 240,000 jobs lost in 2023, a total that’s already 50% higher than last year and growing. Earlier this year, mass work"
"Sources: PhotoRoom, the AI photo editing app, is raising $50M-$60M at a $500M-$600M valuation",https://techcrunch.com/2024/01/09/sources-photoroom-the-ai-photo-editing-app-is-raising-50m-60m-at-a-500m-600m-valuation/,"Apps that let users take, manipulate and share images have been some of the biggest hits in the world of mobile over the years. Now, the influx of AI is cracking open the market for a new wave of star"
Walmart debuts generative AI search and AI replenishment features at CES,https://techcrunch.com/2024/01/09/walmart-debuts-generative-ai-search-and-ai-replenishment-features-at-ces/,"In a keynote address at the Consumer Electronics Show in Las Vegas, Walmart president and CEO Doug McMillon and other Walmart execs offered a glimpse as to how the retail giant was putting new technol"
OneCourt’s haptic mini-field lets blind fans follow the game by touch,https://techcrunch.com/2024/01/09/onecourts-haptic-mini-field-lets-blind-fans-follow-the-game-by-touch/,"Sports fans most often take in their favorite game by watching it on TV or from the venue itself, but those with blind and low vision generally must rely on the announcer or a radio broadcast. OneCour"
Fidelity National Financial says hackers stole data on 1.3 million customers,https://techcrunch.com/2024/01/09/fidelity-national-financial-data-breach/,Real estate services giant Fidelity National Financial has confirmed hackers stole data on 1.3 million of its customers during a November cyberattack that knocked the company offline for a week. FNF s
"SEC’s X account hacked, sharing ‘unauthorized tweet’ regarding spot bitcoin ETF",https://techcrunch.com/2024/01/09/sec-account-hacked-sharing-unauthorized-tweet-regarding-bitcoin-spot-etf/,"The U.S. Securities and Exchange Commission’s X account has been hacked, a spokesperson confirmed with TechCrunch on Tuesday afternoon. “The SEC’s @SECGov X/Twitter account has been"
Tack One launches an improved version of its location tracker for children and seniors,https://techcrunch.com/2024/01/09/tack-one-launches-an-improved-version-of-its-location-tracker-for-children-and-seniors/,"Tack One, a Singapore-based startup, wants to help make sure your kids, elderly parents and pets are safe with AI-powered location technology. Today, the company unveiled its new generation of GPS de"
Alphabet quantum spin-out Sandbox AQ acquires Good Chemistry,https://techcrunch.com/2024/01/09/alphabet-quantum-spin-out-sandbox-aq-acquires-good-chemistry/,"Sandbox AQ, the AI and quantum firm spun out of Google parent company Alphabet in 2022, has acquired Good Chemistry, a Vancouver-based quantum and computational chemistry startup, for an undisclosed s"
Valkyrie co-founder expects $10B inflows for spot bitcoin ETFs by end of year,https://techcrunch.com/2024/01/09/10b-inflows-spot-bitcoin-etf/,"We sat down with Valkyrie's co-founder to chat about why he thinks futures bitcoin ETFs will go away, which spot crypto ETFs could come next, and why the fee wars are “ridiculous.”"
EV startup VinFast adds an electric pickup truck to the long list of things it hopes to build,https://techcrunch.com/2024/01/09/ces-2024-vinfast-vf-wild-truck-vf3/,"Vietnamese EV startup VinFast is trying to get into the electric pickup truck game, as it revealed a new concept called the VF Wild at CES 2024 in Las Vegas. The company announced it also plans to sta"
